"fleet_segment";"Month";"PRODUCTION";"Unit"
"PGP_VL0612";"43";"2241";"kg"
"PGP_VL0612";"44";"3515";"kg"
"PGP_VL0612";"45";"1726";"kg"
"PGP_VL0612";"46";"4431";"kg"
"PGP_VL0612";"47";"6262";"kg"
"PGP_VL0612";"48";"7196";"kg"
"PGP_VL0612";"49";"619";"kg"
"PGP_VL0612";"50";"801";"kg"
"PGP_VL0612";"51";"3585";"kg"
"PGP_VL0612";"52";"2181";"kg"
"PGP_VL0612";"53";"3140";"kg"
"PGP_VL0612";"54";"3098";"kg"
"PGP_VL0612";"55";"2836";"kg"
"PGP_VL0612";"56";"4024";"kg"
"PGP_VL0612";"57";"1613";"kg"
"PGP_VL0612";"58";"1882";"kg"
"PGP_VL0612";"59";"1373";"kg"
"PGP_VL0612";"60";"2336";"kg"
"PGP_VL0612";"61";"362";"kg"
"PGP_VL0612";"62";"1305";"kg"
"PGP_VL0612";"63";"1484";"kg"
"PGP_VL0612";"64";"1692";"kg"
"PGP_VL0612";"65";"3955";"kg"
"PGP_VL0612";"66";"4029";"kg"
"PGP_VL0612";"67";"2249";"kg"
"PGP_VL0612";"68";"2678";"kg"
"PGP_VL0612";"69";"5149";"kg"
"PGP_VL0612";"70";"3789";"kg"
"PGP_VL0612";"71";"5278";"kg"
"PGP_VL0612";"72";"4739";"kg"
"PGP_VL0612";"73";"128";"kg"
"PGP_VL0612";"74";"578";"kg"
"PGP_VL0612";"75";"1304";"kg"
"PGP_VL0612";"76";"2210";"kg"
"PGP_VL0612";"77";"8741";"kg"
"PGP_VL0612";"78";"7007";"kg"
"PGP_VL0612";"79";"4158";"kg"
"PGP_VL0612";"80";"5236";"kg"
"PGP_VL0612";"81";"3935";"kg"
"PGP_VL0612";"82";"1852";"kg"
"PGP_VL0612";"83";"822";"kg"
"PGP_VL0612";"84";"350";"kg"
"PGP_VL0612";"85";"-20";"kg"
"PGP_VL0612";"86";"-20";"kg"
"PGP_VL0612";"87";"2543";"kg"
"PGP_VL0612";"88";"7103";"kg"
"PGP_VL0612";"89";"12892";"kg"
"PGP_VL0612";"90";"13819";"kg"
"PGP_VL0612";"91";"13484";"kg"
"PGP_VL0612";"92";"9956";"kg"
"PGP_VL0612";"93";"6637";"kg"
"PGP_VL0612";"94";"7471";"kg"
"PGP_VL0612";"95";"-20";"kg"
"PGP_VL0612";"96";"3278";"kg"
"PGP_VL0612";"97";"1498";"kg"
"PGP_VL0612";"98";"232";"kg"
"PGP_VL0612";"99";"3130";"kg"
"PGP_VL0612";"100";"2385";"kg"
"PGP_VL0612";"101";"1134";"kg"
"PGP_VL0612";"102";"337";"kg"
"PGP_VL0612";"103";"932";"kg"
"PGP_VL0612";"104";"990";"kg"
"PGP_VL0612";"105";"566";"kg"
"PGP_VL0612";"106";"717";"kg"
