"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"PGP_VL0006";"79";"554";"15";"3.001788909"
"PGP_VL0006";"80";"554";"15";"3.001788909"
"PGP_VL0006";"81";"554";"10";"3.001788909"
"PGP_VL0006";"82";"554";"6";"3.001788909"
"PGP_VL0006";"83";"554";"4";"3.001788909"
"PGP_VL0006";"84";"554";"2";"3.001788909"
"PGP_VL0006";"85";"533";"5";"3.001858736"
"PGP_VL0006";"86";"533";"4";"3.001858736"
"PGP_VL0006";"87";"533";"6";"3.001858736"
"PGP_VL0006";"88";"533";"9";"3.001858736"
"PGP_VL0006";"89";"533";"10";"3.001858736"
"PGP_VL0006";"90";"533";"11";"3.001858736"
"PGP_VL0006";"91";"533";"15";"3.001858736"
"PGP_VL0006";"92";"533";"10";"3.001858736"
"PGP_VL0006";"93";"533";"9";"3.001858736"
"PGP_VL0006";"94";"533";"7";"3.001858736"
"PGP_VL0006";"95";"533";"4";"3.001858736"
"PGP_VL0006";"96";"533";"6";"3.001858736"
"PGP_VL0006";"97";"526";"3";"3.026365348"
"PGP_VL0006";"98";"526";"3";"3.026365348"
"PGP_VL0006";"99";"526";"9";"3.026365348"
"PGP_VL0006";"100";"526";"9";"3.026365348"
"PGP_VL0006";"101";"526";"9";"3.026365348"
"PGP_VL0006";"102";"526";"13";"3.026365348"
"PGP_VL0006";"103";"526";"12";"3.026365348"
"PGP_VL0006";"104";"526";"10";"3.026365348"
"PGP_VL0006";"105";"526";"8";"3.026365348"
"PGP_VL0006";"106";"526";"8";"3.026365348"
"PGP_VL0006";"107";"526";"5";"3.026365348"
"PGP_VL0006";"108";"526";"5";"3.026365348"
"PGP_VL0006";"109";"501";"5";"3.028801356"
"PGP_VL0006";"110";"501";"5";"3.028801356"
"PGP_VL0006";"111";"501";"11";"3.028801356"
"PGP_VL0006";"112";"501";"13";"3.028801356"
"PGP_VL0006";"113";"501";"13";"3.028801356"
"PGP_VL0006";"114";"501";"14";"3.028801356"
"PGP_VL0006";"115";"501";"17";"3.028801356"
"PGP_VL0006";"116";"501";"13";"3.028801356"
"PGP_VL0006";"117";"501";"13";"3.028801356"
"PGP_VL0006";"118";"501";"11";"3.028801356"
"PGP_VL0006";"119";"501";"7";"3.028801356"
"PGP_VL0006";"120";"501";"7";"3.028801356"
"PGP_VL0006";"121";"472";"3";"3.030578536"
"PGP_VL0006";"122";"472";"6";"3.030578536"
"PGP_VL0006";"123";"472";"11";"3.030578536"
"PGP_VL0006";"124";"472";"14";"3.030578536"
"PGP_VL0006";"125";"472";"14";"3.030578536"
"PGP_VL0006";"126";"472";"15";"3.030578536"
"PGP_VL0006";"127";"472";"17";"3.030578536"
"PGP_VL0006";"128";"472";"14";"3.030578536"
"PGP_VL0006";"129";"472";"13";"3.030578536"
